subid,n.types,timestamp,word.len,rt,keypress,correct
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:10,8,1.772,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:14,6,0.15500000000000003,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:20,8,1.124,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:24,6,0.362,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:29,8,0.24400000000000002,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:33,6,0.23600000000000002,1,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:38,8,0.344,2,1
ad0049fed7d0e5781ac8b7c23c9b1a5a,3,20-May-2007 11:06:43,6,0.8560000000000001,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:48:36,4,6.116,2,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:48:43,6,3.4499999999999997,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:48:52,8,4.629,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:48:58,8,0.967,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:04,4,2.296,1,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:09,8,1.151,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:16,6,3.1159999999999997,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:22,8,1.266,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:28,4,2.194,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:36,6,3.985,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:45,4,6.121999999999999,1,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:54,4,4.932,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:49:59,8,0.6839999999999999,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:05,4,2.3739999999999997,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:10,8,0.992,2,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:15,6,1.015,1,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:21,4,2.844,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:26,6,0.48900000000000005,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:31,8,1.068,2,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:36,4,1.339,1,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:42,6,1.671,2,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:47,8,0.31,2,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:51,6,1.039,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:50:57,8,0.8680000000000001,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:51:02,8,0.5780000000000001,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:51:07,6,0.9570000000000001,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:51:12,8,0.902,1,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:51:21,4,4.954,1,0
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:51:26,8,0.314,2,1
9323593e5c70bd717078bc72050d182f,6,20-May-2007 11:51:31,6,0.808,1,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:02,8,0.498,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:08,4,1.534,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:12,6,0.598,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:17,8,0.734,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:22,6,0.447,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:27,6,1.464,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:34,4,3.363,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:38,6,0.23900000000000002,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:43,4,1.6980000000000002,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:47,4,0.913,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:52,6,0.901,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:27:57,8,0.516,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:02,4,1.56,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:07,6,0.8680000000000001,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:11,4,0.646,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:15,4,1.58,1,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:20,8,0.23500000000000001,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:24,4,0.771,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:29,4,1.322,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:33,4,0.761,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:39,6,1.848,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:44,8,0.43500000000000005,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:48,6,0.696,1,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:53,8,0.21200000000000002,2,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:28:57,4,0.43400000000000005,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:29:00,4,0.381,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:29:05,4,1.098,2,0
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:29:09,6,0.41400000000000003,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:29:13,4,0.8610000000000001,1,1
d9fa207d184819863185660c031973c6,9,25-Jul-2007 12:29:18,6,0.354,1,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:32:26,6,1.9149999999999998,1,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:32:32,8,1.624,2,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:32:37,6,1.365,1,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:32:50,8,8.616,2,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:32:56,4,2.062,2,0
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:33:02,6,2.347,1,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:33:47,4,41.712,1,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:33:52,8,1.005,1,1
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:34:13,6,16.839000000000002,1,0
da14fcd334ee1c38931bb45dc65c223f,3,26-Jul-2007 14:34:18,8,0.307,2,1
